	Acrchr1.aa	AcreTS7_1.aa	Annmae1.aa	Anntru1.aa	Astsub1.aa	Beaba1.aa	Bisma1.aa	Bismed1.aa	Chafu1.aa	Chame1.aa	Chathe1.aa	Colab1.aa	Colac2.aa	Colca1.aa	Colce1.aa	Colch1.aa	Colco1.aa	Colcu1.aa	Coler1.aa	Colfa1.aa	Colfi1.aa	Colgl1.aa	Colgo1.aa	Colhig2.aa	Colin1.aa	Collu1.aa	Colme1.aa	Colna1.aa	Colny1.aa	Color1.aa	Colorb1.aa	Colpa1.aa	Colph1.aa	Colsa1.aa	Colsi1.aa	Colso1.aa	Colsu1.aa	Colsub1.aa	Colta1.aa	Colto1.aa	Colzo1.aa	Cormi1.aa	Crypa2.aa	CtCBS203_1.aa	Cylol1.aa	Daces1.aa	Dacma1.aa	Dalba1.aa	Dalloc1.aa	Dalver1.aa	Diaam1.aa	Escweb1.aa	Fusgr1.aa	Fusoxalb1.aa	Fustri1.aa	Fusve2.aa	GCA_001625285.1.aa	GCA_004920355.1.aa	GCA_005350895.1.aa	GCA_006783085.1.aa	GCA_009806415.1.aa	GCA_011075155.1.aa	GCA_011800055.1.aa	GCA_014235925.1.aa	GCA_014235935.1.aa	GCA_014235945.1.aa	GCA_014235955.1.aa	GCA_018906675.1.aa	GCA_018906765.1.aa	GCA_018907675.1.aa	GCA_025327125.1.aa	GCA_025327135.1.aa	GCA_025327145.1.aa	GCA_025327155.1.aa	GCA_025327165.1.aa	GCA_025328335.1.aa	GCA_025328345.1.aa	GCA_025328355.1.aa	GCA_025328625.1.aa	GCA_025328985.1.aa	GCA_025329375.1.aa	GCA_025329385.1.aa	GCA_025330015.1.aa	GCA_027942835.1.aa	GCA_027942845.1.aa	GCA_029226625.1.aa	Grocl1.aa	Hyparg1.aa	Hypcer1.aa	Hypfus1.aa	Ilyeu1.aa	KdCBS826_1.aa	Metac1.aa	Micbo1.aa	Mictri1.aa	Neodi1.aa	Ophpic1.aa	Plecuc1.aa	Porpun1.aa	Pseve2.aa	Roster1.aa	Seagrass.aa	Sorhu1.aa	Stael1.aa	Triaru1.aa	Trihar1.aa	Tripar1.aa	Truan1.aa	Verda1.aa	Xyllon1.aa
201-500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
501-1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'1001+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes
'0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1	76.8	70.3	72.1	70.9	59.1	67.0	68.7	71.4	68.1	64.4	85.3	66.1	60.7	61.9	56.2	69.6	69.9	66.2	63.0	57.9	66.1	51.8	59.8	62.9	64.1	66.6	69.8	65.5	64.4	66.5	62.2	70.2	62.7	64.4	65.9	62.5	63.1	67.2	68.4	63.0	61.7	69.4	60.1	66.6	46.7	41.5	37.5	74.1	73.4	73.9	65.0	87.8	59.0	41.9	56.8	32.8	61.3	65.6	66.2	73.1	52.1	63.6	57.2	52.9	57.3	59.7	59.2	71.6	71.5	70.8	64.3	65.0	64.4	64.5	64.9	64.4	64.9	64.0	64.0	64.6	64.4	64.5	64.4	60.4	67.5	69.5	75.6	62.2	66.0	64.3	37.8	62.4	69.0	56.1	46.0	61.3	74.0	57.2	73.4	59.6	70.1	69.3	61.2	49.9	66.4	53.0	77.0	52.3	68.5	62.8
'2	10.6	12.3	11.6	11.2	13.0	12.5	11.9	10.6	11.3	12.0	7.1	12.8	13.5	11.5	12.2	13.1	12.2	12.0	12.1	11.3	13.8	13.8	13.8	13.9	13.8	13.4	12.2	11.7	14.6	12.4	12.8	12.0	13.2	14.7	13.9	12.1	12.5	13.9	12.3	14.2	11.9	11.1	12.8	12.1	13.5	12.9	12.2	11.3	11.3	10.8	14.2	8.2	14.6	13.4	14.9	19.8	13.2	14.0	13.0	13.0	13.4	14.7	14.1	13.3	12.7	13.2	13.2	11.8	11.7	12.0	13.6	14.0	13.7	13.4	14.0	13.4	13.6	13.4	13.6	13.3	13.4	13.4	13.9	15.4	14.8	10.5	10.2	11.9	12.2	11.9	13.2	12.1	13.5	13.7	12.9	13.6	10.2	13.5	11.1	12.2	11.2	13.5	9.8	12.7	13.5	12.1	11.6	14.0	12.8	13.2
'3	2.8	5.2	4.9	5.2	6.4	6.0	5.1	4.8	4.2	5.2	1.7	6.3	6.4	4.9	4.8	6.0	5.5	5.5	5.5	4.1	6.5	5.9	6.9	5.6	6.2	6.2	5.6	4.4	6.6	5.6	6.0	5.6	6.2	6.4	6.2	4.9	5.1	5.5	6.0	6.6	5.1	4.1	4.8	5.3	7.9	7.8	8.6	4.5	5.2	4.9	6.7	1.1	6.6	8.9	7.8	11.4	6.2	5.9	4.9	4.9	6.4	7.2	7.6	7.3	7.0	6.6	6.7	5.1	5.2	5.1	6.3	5.9	6.3	6.6	5.9	6.6	6.3	6.7	6.4	6.5	6.7	6.6	6.3	6.7	6.3	4.5	3.8	5.3	5.2	6.2	8.2	5.2	5.7	6.5	6.8	7.3	3.5	6.4	3.4	5.9	5.7	6.1	3.4	7.3	5.9	5.9	3.9	7.3	4.7	5.2
'4	1.1	2.9	2.3	2.6	3.6	2.6	2.9	1.8	2.3	2.4	0.7	3.7	3.4	2.3	2.9	2.8	3.3	3.0	2.8	2.0	3.5	4.3	3.7	3.2	3.1	3.4	3.0	2.4	3.6	2.6	3.0	3.2	3.3	3.6	3.7	2.4	2.9	3.6	3.1	3.7	2.3	2.4	2.9	2.9	6.2	5.5	6.0	2.6	2.8	3.0	3.3	0.4	3.0	6.6	5.0	7.9	3.3	3.2	2.6	2.4	4.2	3.4	4.7	4.1	3.9	4.0	3.6	3.5	3.4	3.6	4.3	3.8	4.3	4.2	3.9	4.3	3.7	4.4	4.2	3.8	4.3	4.3	4.0	4.2	3.1	1.8	1.7	3.5	3.5	3.4	5.7	3.0	3.0	3.6	4.9	4.4	1.4	4.3	2.0	3.2	2.8	3.1	2.2	4.4	2.6	3.9	2.1	4.1	2.7	3.3
'5	1.0	1.0	1.8	1.9	2.9	2.1	1.4	1.4	1.1	1.9	0.4	2.6	2.1	1.3	1.9	2.1	2.2	2.0	2.0	1.5	2.5	2.8	2.8	2.8	1.8	2.5	2.2	1.6	2.7	1.5	2.1	2.1	2.5	2.1	2.5	1.5	1.7	1.8	2.2	2.3	1.3	1.2	2.0	2.1	3.8	4.2	4.0	1.2	1.4	1.4	1.8	0.4	2.2	4.7	3.0	4.5	2.2	2.6	1.8	1.4	2.5	2.8	3.1	2.9	2.9	2.6	2.7	1.8	1.9	1.8	2.6	2.3	2.7	2.6	2.3	2.3	3.1	2.5	2.7	2.6	2.5	2.6	2.6	2.9	2.1	1.1	0.5	2.2	2.2	2.3	4.0	2.9	1.5	2.2	3.2	2.6	1.1	2.7	1.1	1.8	1.9	2.2	1.0	2.8	2.0	2.2	1.2	2.7	1.9	2.5
'6	0.5	0.8	1.4	1.3	1.9	1.2	1.1	0.7	0.6	1.4	0.0	1.4	1.6	1.1	1.5	1.5	1.0	1.4	1.2	1.3	1.7	2.1	1.7	1.6	2.2	1.1	1.5	1.1	1.4	1.2	1.3	1.0	1.2	1.4	1.3	1.2	1.3	1.6	1.2	2.1	1.1	0.7	1.0	1.0	3.5	3.4	4.2	0.7	0.9	1.0	1.1	0.1	1.3	3.0	2.2	4.1	2.3	1.5	0.6	1.0	2.2	1.5	2.3	2.0	1.6	1.5	1.6	1.4	1.3	1.3	2.3	2.1	1.9	2.2	2.1	2.1	1.9	1.9	1.8	2.1	1.7	1.7	2.0	2.5	1.7	1.0	0.6	1.8	1.5	1.3	3.2	1.3	1.0	1.6	2.5	1.8	0.7	1.5	0.4	1.1	1.1	1.4	1.2	2.6	1.0	2.0	0.8	1.7	0.9	1.3
'7	0.2	0.6	0.8	0.7	0.7	0.6	0.6	0.3	0.7	0.7	0.0	1.3	0.9	0.7	1.2	0.6	0.9	1.0	0.8	0.8	0.9	2.0	1.1	0.9	1.7	1.0	0.8	0.4	1.3	0.8	1.0	1.1	1.0	1.1	1.2	0.9	0.9	0.4	1.0	1.4	0.7	0.8	1.1	0.8	2.1	3.0	2.8	0.2	0.4	0.3	0.7	0.0	1.0	3.0	1.2	2.2	1.4	0.9	0.7	0.5	1.8	1.3	1.9	1.4	1.2	1.3	1.1	0.8	0.8	0.8	1.2	1.6	1.7	1.3	1.5	1.2	1.2	1.8	1.6	1.6	1.4	1.4	1.5	1.3	1.0	0.5	0.2	1.0	1.0	0.6	2.5	1.3	0.5	0.6	1.8	1.1	0.5	1.1	0.9	0.8	0.6	0.8	0.8	1.4	1.0	1.2	0.5	1.8	0.5	0.9
'8	0.2	0.4	0.2	0.4	0.8	0.8	0.6	0.4	0.5	0.4	0.0	0.6	0.3	0.5	0.7	0.6	0.4	0.6	0.4	0.5	0.2	1.2	0.6	1.3	0.9	0.6	0.4	0.4	0.6	0.6	0.6	0.5	0.9	0.7	0.3	1.1	0.4	0.6	0.5	0.9	0.7	0.4	0.6	0.7	1.8	2.0	2.5	0.2	0.4	0.2	0.9	0.0	0.8	2.3	1.1	1.8	1.1	1.1	1.0	0.9	0.9	0.5	1.3	1.1	1.2	1.2	1.1	0.4	0.4	0.5	0.6	0.8	0.8	0.7	1.1	1.2	1.0	0.9	0.9	0.9	1.1	0.9	0.9	1.4	0.3	0.4	0.2	0.7	0.4	0.6	2.3	0.8	0.4	0.9	1.0	1.0	0.6	1.0	0.3	0.8	0.2	0.8	0.6	1.4	0.5	0.9	0.1	0.8	0.2	0.6
'9	0.3	0.1	0.2	0.2	0.3	0.7	0.4	0.2	0.3	0.6	0.1	0.7	0.5	0.4	0.5	0.7	0.6	0.4	0.4	0.3	0.5	0.7	0.7	0.5	0.9	0.6	0.6	0.2	0.6	0.8	0.5	0.7	0.4	0.4	0.8	0.4	0.5	0.4	0.7	0.4	0.3	0.4	0.6	0.5	0.9	1.9	2.5	0.4	0.2	0.5	0.5	0.0	0.3	1.9	0.9	1.7	1.1	0.9	0.1	0.2	0.7	0.4	0.8	0.9	1.0	0.7	0.8	0.3	0.4	0.3	0.8	0.7	0.6	1.0	0.5	0.8	0.5	0.6	0.8	0.8	0.8	0.6	1.1	0.7	0.7	0.1	0.3	0.9	0.6	0.8	1.9	0.5	0.3	0.7	1.1	0.6	0.5	0.5	0.5	0.9	0.2	0.5	0.1	1.0	0.7	1.2	0.0	0.8	0.1	0.7
'10	0.1	0.2	0.4	0.4	0.8	0.9	0.3	0.1	0.2	0.3	0.0	0.3	0.7	0.1	0.5	0.1	0.2	0.6	0.5	0.3	0.6	0.6	0.8	0.5	0.3	0.4	0.5	0.3	0.4	0.2	0.2	0.2	0.5	0.4	0.4	0.3	0.6	0.4	0.6	0.3	0.1	0.3	0.3	0.3	1.0	1.4	1.7	0.4	0.3	0.0	0.2	0.0	0.7	1.2	0.4	1.6	0.5	0.4	0.5	0.1	0.6	0.7	0.8	1.1	0.4	0.7	0.4	0.6	0.6	0.5	0.5	0.6	0.5	0.3	0.7	0.2	0.5	0.3	0.4	0.5	0.6	0.9	0.2	0.4	0.1	0.2	0.1	0.5	0.5	0.5	1.9	0.6	0.2	0.2	1.1	0.6	0.1	0.5	0.2	0.4	0.1	0.2	0.4	0.7	0.2	0.4	0.2	0.5	0.5	0.7
11-15	0.3	0.0	1.2	1.0	2.5	1.1	1.4	0.5	0.8	1.0	0.0	1.8	1.4	0.7	1.1	1.0	1.4	1.6	0.6	1.0	1.4	1.5	1.1	1.2	1.6	1.5	1.5	0.6	1.6	0.9	1.3	1.2	0.8	1.4	1.5	0.7	0.7	1.2	1.6	1.6	0.8	0.7	1.4	0.7	2.3	4.6	5.1	0.7	0.8	1.1	0.4	0.0	0.7	3.7	1.5	2.9	1.1	1.0	0.9	0.9	2.5	1.5	2.2	2.2	2.1	1.5	1.4	1.3	1.3	1.4	1.8	1.8	1.8	1.7	1.6	2.4	1.7	1.8	1.7	1.7	1.5	1.6	1.9	1.7	1.2	0.4	0.5	1.9	1.1	1.5	3.8	1.2	0.7	1.0	2.3	1.3	0.7	1.0	0.6	0.5	1.3	1.1	0.9	3.0	0.8	2.1	0.3	2.1	0.2	1.1
16-20	0.2	0.2	0.3	0.8	1.0	0.2	0.0	0.3	0.4	0.6	0.2	0.5	0.4	0.7	0.3	0.7	0.5	0.2	0.6	0.6	0.3	0.6	0.5	0.4	0.6	0.4	0.4	0.5	0.5	0.5	0.5	0.4	0.7	0.5	0.4	0.4	0.4	0.4	0.5	0.3	0.7	0.4	0.7	0.7	0.9	1.8	2.6	0.2	0.2	0.2	0.7	0.0	0.3	2.1	0.7	1.5	0.6	0.8	0.5	0.3	0.7	0.6	0.8	1.1	1.0	0.7	1.0	0.4	0.6	0.6	0.8	0.4	0.4	0.6	0.6	0.1	0.5	0.6	0.5	0.4	0.4	0.4	0.3	0.9	0.7	0.5	0.0	1.7	1.0	1.5	2.1	0.7	0.3	0.4	1.1	0.4	0.2	0.7	0.3	0.8	0.5	0.3	0.3	0.5	0.5	0.7	0.0	0.7	0.2	1.1
21-50	0.0	0.2	0.8	1.0	2.2	0.5	0.6	0.0	0.0	0.8	0.3	1.0	0.9	0.5	1.0	0.7	0.7	1.4	1.0	1.1	1.3	1.5	1.4	1.3	1.0	1.2	0.7	0.6	0.7	1.2	0.6	1.0	1.3	1.3	1.0	0.8	0.9	0.7	0.8	1.8	0.8	0.6	1.9	0.4	2.2	3.3	3.8	0.2	0.6	0.7	0.2	0.0	0.6	2.5	1.0	1.6	1.8	1.8	0.2	0.2	2.4	1.4	1.9	4.4	1.9	1.7	1.7	0.9	0.7	0.7	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.1	0.2	0.5	0.6	2.0	1.1	0.8	3.4	2.3	0.7	0.9	2.1	0.9	0.0	0.7	0.2	0.4	1.1	0.4	1.4	1.1	0.0	1.0	0.3	1.8	0.2	1.8
51-100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.3	0.0	0.3	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.5	0.0	0.3	0.0	0.4	0.0	0.0	0.0	0.3	0.0	0.4	0.3	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.8	0.3	0.9	0.0	0.0	0.0	0.0	0.0	0.0	1.5	0.0	0.6	1.0	0.0	0.0	0.0	0.7	0.0	0.4	0.9	0.5	0.4	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.4	0.3	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6	1.5	0.5	0.0	0.0	0.0	0.0	0.5
101-150	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7	0.0	0.0	0.0	0.0
151-200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
201-500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
501-1000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1001+	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
