Identifier    	Cytoplasmic effector	Apoplastic effector 	Non-effector        	Prediction          
SGCOL_006206-T1 	-                   	Y (0.921)           	-                   	Apoplastic effector
SGCOL_006207-T1 	-                   	Y (0.876)           	-                   	Apoplastic effector
SGCOL_006213-T1 	-                   	-                   	Y (0.752)           	Non-effector
SGCOL_006217-T1 	-                   	-                   	Y (0.982)           	Non-effector
SGCOL_006219-T1 	-                   	-                   	Y (0.605)           	Non-effector
SGCOL_006220-T1 	-                   	-                   	Y (0.926)           	Non-effector
SGCOL_006221-T1 	-                   	-                   	Y (0.723)           	Non-effector
SGCOL_006230-T1 	-                   	-                   	Y (0.578)           	Non-effector
SGCOL_006232-T1 	-                   	-                   	Y (0.878)           	Non-effector
SGCOL_006239-T1 	-                   	-                   	Y (0.723)           	Non-effector
SGCOL_006242-T1 	-                   	-                   	Y (0.934)           	Non-effector
SGCOL_006247-T1 	-                   	-                   	Y (0.962)           	Non-effector
SGCOL_006249-T1 	-                   	Y (0.566)           	-                   	Apoplastic effector
SGCOL_006257-T1 	-                   	-                   	Y (0.542)           	Non-effector
SGCOL_006259-T1 	-                   	Y (0.602)           	-                   	Apoplastic effector
SGCOL_006260-T1 	-                   	-                   	Y (0.506)           	Non-effector
SGCOL_006262-T1 	-                   	-                   	Y (0.687)           	Non-effector
SGCOL_006265-T1 	-                   	-                   	Y (0.563)           	Non-effector
SGCOL_006267-T1 	-                   	-                   	Y (0.643)           	Non-effector
SGCOL_006283-T1 	-                   	-                   	Y (0.836)           	Non-effector
SGCOL_006286-T1 	Y (0.535)           	Y (0.769)           	-                   	Apoplastic/cytoplasmic effector
SGCOL_006288-T1 	-                   	-                   	Y (0.831)           	Non-effector
SGCOL_006289-T1 	-                   	-                   	Y (0.922)           	Non-effector
SGCOL_006292-T1 	-                   	-                   	Y (0.928)           	Non-effector
SGCOL_006293-T1 	Y (0.989)           	Y (0.649)           	-                   	Cytoplasmic/apoplastic effector
SGCOL_006294-T1 	-                   	-                   	Y (0.551)           	Non-effector
SGCOL_006296-T1 	-                   	-                   	Y (0.974)           	Non-effector
SGCOL_006298-T1 	Y (0.532)           	Y (0.724)           	-                   	Apoplastic/cytoplasmic effector
SGCOL_006307-T1 	Y (0.732)           	Y (0.93)           	-                   	Apoplastic/cytoplasmic effector
SGCOL_006310-T1 	-                   	-                   	Y (0.921)           	Non-effector
SGCOL_006320-T1 	-                   	-                   	Y (0.855)           	Non-effector
SGCOL_006323-T1 	-                   	-                   	Y (0.628)           	Non-effector
SGCOL_006326-T1 	-                   	-                   	Y (0.545)           	Non-effector
SGCOL_006327-T1 	Y (0.642)           	-                   	-                   	Cytoplasmic effector
SGCOL_006338-T1 	Y (0.818)           	-                   	-                   	Cytoplasmic effector
SGCOL_006344-T1 	-                   	-                   	Y (0.899)           	Non-effector
SGCOL_006349-T1 	-                   	-                   	Y (0.887)           	Non-effector
SGCOL_006354-T1 	-                   	-                   	Y (0.503)           	Non-effector
SGCOL_006369-T1 	-                   	-                   	Y (0.624)           	Non-effector
SGCOL_006376-T1 	Y (0.821)           	-                   	-                   	Cytoplasmic effector
SGCOL_006378-T1 	Y (0.811)           	-                   	-                   	Cytoplasmic effector
SGCOL_006398-T1 	-                   	-                   	Y (0.509)           	Non-effector
SGCOL_006404-T1 	-                   	Y (0.591)           	-                   	Apoplastic effector
SGCOL_006412-T1 	-                   	-                   	Y (0.645)           	Non-effector
SGCOL_006420-T1 	-                   	-                   	Y (0.895)           	Non-effector
SGCOL_006422-T1 	-                   	-                   	Y (0.948)           	Non-effector
SGCOL_006450-T1 	-                   	Y (0.922)           	-                   	Apoplastic effector
SGCOL_006476-T1 	-                   	-                   	Y (0.816)           	Non-effector
SGCOL_006477-T1 	-                   	-                   	Y (0.551)           	Non-effector
SGCOL_006503-T1 	Y (0.711)           	-                   	-                   	Cytoplasmic effector
SGCOL_006505-T1 	-                   	Y (0.632)           	-                   	Apoplastic effector
SGCOL_006542-T1 	-                   	-                   	Y (0.816)           	Non-effector
SGCOL_006564-T1 	Y (0.903)           	-                   	-                   	Cytoplasmic effector
SGCOL_006565-T1 	Y (0.799)           	Y (0.718)           	-                   	Cytoplasmic/apoplastic effector
SGCOL_006585-T1 	-                   	-                   	Y (0.911)           	Non-effector
SGCOL_006593-T1 	-                   	Y (0.649)           	-                   	Apoplastic effector
SGCOL_006596-T1 	-                   	-                   	Y (0.854)           	Non-effector
SGCOL_006611-T1 	-                   	-                   	Y (0.868)           	Non-effector
SGCOL_006643-T1 	Y (0.736)           	-                   	-                   	Cytoplasmic effector
SGCOL_006650-T1 	-                   	-                   	Y (0.776)           	Non-effector
SGCOL_006674-T1 	Y (0.891)           	-                   	-                   	Cytoplasmic effector
SGCOL_006737-T1 	-                   	-                   	Y (0.899)           	Non-effector
SGCOL_006759-T1 	-                   	-                   	Y (0.987)           	Non-effector
SGCOL_006761-T1 	-                   	-                   	Y (0.575)           	Non-effector
SGCOL_006784-T1 	-                   	-                   	Y (0.961)           	Non-effector
SGCOL_006786-T1 	-                   	-                   	Y (0.973)           	Non-effector
SGCOL_006800-T1 	-                   	-                   	Y (0.658)           	Non-effector
SGCOL_006807-T1 	-                   	Y (0.61)           	-                   	Apoplastic effector
SGCOL_006826-T1 	-                   	-                   	Y (0.519)           	Non-effector
SGCOL_006851-T1 	Y (0.577)           	-                   	-                   	Cytoplasmic effector
SGCOL_006867-T1 	-                   	Y (0.519)           	-                   	Apoplastic effector
SGCOL_006868-T1 	-                   	-                   	Y (0.729)           	Non-effector
SGCOL_006888-T1 	-                   	-                   	Y (0.967)           	Non-effector
SGCOL_006894-T1 	-                   	-                   	Y (0.756)           	Non-effector
SGCOL_006901-T1 	-                   	-                   	Y (0.9)           	Non-effector
SGCOL_006906-T1 	-                   	-                   	Y (0.65)           	Non-effector
SGCOL_006909-T1 	-                   	-                   	Y (0.962)           	Non-effector
SGCOL_006917-T1 	-                   	-                   	Y (0.791)           	Non-effector
SGCOL_006919-T1 	-                   	Y (0.609)           	-                   	Apoplastic effector
SGCOL_006928-T1 	-                   	-                   	Y (0.776)           	Non-effector
SGCOL_006960-T1 	-                   	Y (0.635)           	-                   	Apoplastic effector
SGCOL_006963-T1 	-                   	-                   	Y (0.968)           	Non-effector
SGCOL_007009-T1 	-                   	-                   	Y (0.529)           	Non-effector
SGCOL_007017-T1 	-                   	-                   	Y (0.815)           	Non-effector
SGCOL_007021-T1 	-                   	Y (0.783)           	-                   	Apoplastic effector
SGCOL_007022-T1 	-                   	Y (0.845)           	-                   	Apoplastic effector
SGCOL_007057-T1 	Y (0.725)           	-                   	-                   	Cytoplasmic effector
SGCOL_007064-T1 	-                   	-                   	Y (0.716)           	Non-effector
SGCOL_007067-T1 	Y (0.643)           	-                   	-                   	Cytoplasmic effector
SGCOL_007096-T1 	-                   	-                   	Y (0.563)           	Non-effector
SGCOL_007108-T1 	-                   	Y (0.801)           	-                   	Apoplastic effector
SGCOL_007137-T1 	-                   	-                   	Y (0.559)           	Non-effector
SGCOL_007140-T1 	-                   	-                   	Y (0.788)           	Non-effector
SGCOL_007144-T1 	-                   	-                   	Y (0.652)           	Non-effector
SGCOL_007146-T1 	-                   	Y (0.685)           	-                   	Apoplastic effector
SGCOL_007147-T1 	Y (0.503)           	-                   	-                   	Cytoplasmic effector
SGCOL_007167-T1 	-                   	-                   	Y (0.898)           	Non-effector
SGCOL_007170-T1 	-                   	Y (0.924)           	-                   	Apoplastic effector
SGCOL_007171-T1 	-                   	-                   	Y (0.576)           	Non-effector
SGCOL_007173-T1 	-                   	-                   	Y (0.893)           	Non-effector
SGCOL_007178-T1 	-                   	-                   	Y (0.815)           	Non-effector
SGCOL_007180-T1 	-                   	-                   	Y (0.941)           	Non-effector
SGCOL_007182-T1 	-                   	-                   	Y (0.905)           	Non-effector
SGCOL_007195-T1 	-                   	-                   	Y (0.629)           	Non-effector
SGCOL_007197-T1 	-                   	-                   	Y (0.576)           	Non-effector
SGCOL_007206-T1 	-                   	-                   	Y (0.578)           	Non-effector
SGCOL_007218-T1 	-                   	-                   	Y (0.597)           	Non-effector
SGCOL_007221-T1 	-                   	-                   	Y (0.897)           	Non-effector
SGCOL_007230-T1 	-                   	-                   	Y (0.574)           	Non-effector
SGCOL_007234-T1 	-                   	-                   	Y (0.698)           	Non-effector
SGCOL_007252-T1 	-                   	Y (0.736)           	-                   	Apoplastic effector
SGCOL_007270-T1 	-                   	-                   	Y (0.856)           	Non-effector
SGCOL_007275-T1 	Y (0.635)           	-                   	-                   	Cytoplasmic effector
SGCOL_007296-T1 	Y (0.763)           	-                   	-                   	Cytoplasmic effector
SGCOL_007312-T1 	-                   	-                   	Y (0.884)           	Non-effector
SGCOL_007332-T1 	-                   	Y (0.558)           	-                   	Apoplastic effector
SGCOL_007354-T1 	-                   	-                   	Y (0.693)           	Non-effector
SGCOL_007357-T1 	-                   	-                   	Y (0.946)           	Non-effector
SGCOL_007361-T1 	-                   	-                   	Y (0.596)           	Non-effector
SGCOL_007369-T1 	-                   	-                   	Y (0.883)           	Non-effector
SGCOL_007384-T1 	-                   	-                   	Y (0.709)           	Non-effector
SGCOL_007385-T1 	-                   	-                   	Y (0.881)           	Non-effector
SGCOL_007389-T1 	-                   	-                   	Y (0.822)           	Non-effector
SGCOL_007408-T1 	-                   	-                   	Y (0.916)           	Non-effector
SGCOL_007419-T1 	-                   	-                   	Y (0.729)           	Non-effector
SGCOL_007420-T1 	Y (0.839)           	-                   	-                   	Cytoplasmic effector
SGCOL_007427-T1 	-                   	-                   	Y (0.925)           	Non-effector
SGCOL_007437-T1 	-                   	-                   	Y (0.816)           	Non-effector
SGCOL_007445-T1 	-                   	-                   	Y (0.822)           	Non-effector
SGCOL_007448-T1 	-                   	-                   	Y (0.67)           	Non-effector
SGCOL_007456-T1 	Y (0.543)           	-                   	-                   	Cytoplasmic effector
SGCOL_007466-T1 	-                   	-                   	Y (0.889)           	Non-effector
SGCOL_007474-T1 	-                   	-                   	Y (0.801)           	Non-effector
SGCOL_007488-T1 	-                   	-                   	Y (0.733)           	Non-effector
SGCOL_007496-T1 	-                   	Y (0.557)           	-                   	Apoplastic effector
SGCOL_007501-T1 	-                   	Y (0.588)           	-                   	Apoplastic effector
SGCOL_007513-T1 	Y (0.563)           	-                   	-                   	Cytoplasmic effector
SGCOL_007515-T1 	-                   	Y (0.762)           	-                   	Apoplastic effector
SGCOL_007535-T1 	-                   	-                   	Y (0.721)           	Non-effector
SGCOL_007544-T1 	-                   	Y (0.523)           	-                   	Apoplastic effector
SGCOL_007549-T1 	Y (0.761)           	Y (0.959)           	-                   	Apoplastic/cytoplasmic effector
SGCOL_007552-T1 	-                   	-                   	Y (0.613)           	Non-effector
SGCOL_007555-T1 	-                   	Y (0.617)           	-                   	Apoplastic effector
SGCOL_007562-T1 	-                   	-                   	Y (0.643)           	Non-effector
SGCOL_007565-T1 	Y (0.586)           	Y (0.763)           	-                   	Apoplastic/cytoplasmic effector
SGCOL_007575-T1 	Y (0.685)           	Y (0.526)           	-                   	Cytoplasmic/apoplastic effector
SGCOL_007586-T1 	-                   	-                   	Y (0.928)           	Non-effector
SGCOL_007589-T1 	-                   	-                   	Y (0.743)           	Non-effector
SGCOL_007612-T1 	-                   	Y (0.509)           	-                   	Apoplastic effector
SGCOL_007613-T1 	-                   	-                   	Y (0.58)           	Non-effector
SGCOL_007617-T1 	-                   	-                   	Y (0.928)           	Non-effector
SGCOL_007619-T1 	-                   	-                   	Y (0.811)           	Non-effector
SGCOL_007620-T1 	-                   	-                   	Y (0.795)           	Non-effector
SGCOL_007624-T1 	-                   	-                   	Y (0.648)           	Non-effector
SGCOL_007625-T1 	-                   	Y (0.652)           	-                   	Apoplastic effector
SGCOL_007626-T1 	-                   	-                   	Y (0.811)           	Non-effector
SGCOL_007628-T1 	-                   	-                   	Y (0.743)           	Non-effector
SGCOL_007629-T1 	-                   	-                   	Y (0.7)           	Non-effector
SGCOL_007640-T1 	-                   	-                   	Y (0.659)           	Non-effector
SGCOL_007642-T1 	-                   	-                   	Y (0.753)           	Non-effector
SGCOL_007665-T1 	-                   	-                   	Y (0.923)           	Non-effector
SGCOL_007675-T1 	Y (0.721)           	-                   	-                   	Cytoplasmic effector
SGCOL_007678-T1 	-                   	-                   	Y (0.632)           	Non-effector
SGCOL_007679-T1 	-                   	-                   	Y (0.683)           	Non-effector
SGCOL_007682-T1 	-                   	-                   	Y (0.637)           	Non-effector
SGCOL_007686-T1 	-                   	Y (0.585)           	-                   	Apoplastic effector
SGCOL_007694-T1 	-                   	-                   	Y (0.682)           	Non-effector
SGCOL_007695-T1 	-                   	Y (0.682)           	-                   	Apoplastic effector
SGCOL_007701-T1 	-                   	Y (0.51)           	-                   	Apoplastic effector
SGCOL_007711-T1 	Y (0.857)           	-                   	-                   	Cytoplasmic effector
SGCOL_007712-T1 	-                   	-                   	Y (0.953)           	Non-effector
SGCOL_007713-T1 	-                   	Y (0.935)           	-                   	Apoplastic effector
SGCOL_007725-T1 	-                   	Y (0.764)           	-                   	Apoplastic effector
SGCOL_007745-T1 	-                   	Y (0.528)           	-                   	Apoplastic effector
SGCOL_007747-T1 	-                   	-                   	Y (0.693)           	Non-effector
SGCOL_007749-T1 	-                   	-                   	Y (0.927)           	Non-effector
SGCOL_007779-T1 	-                   	-                   	Y (0.916)           	Non-effector
SGCOL_007791-T1 	-                   	Y (0.924)           	-                   	Apoplastic effector
SGCOL_007795-T1 	-                   	-                   	Y (0.829)           	Non-effector
SGCOL_007808-T1 	Y (0.671)           	-                   	-                   	Cytoplasmic effector
SGCOL_007814-T1 	-                   	Y (0.915)           	-                   	Apoplastic effector
SGCOL_007819-T1 	Y (0.804)           	-                   	-                   	Cytoplasmic effector
SGCOL_007821-T1 	-                   	Y (0.502)           	-                   	Apoplastic effector
SGCOL_007827-T1 	-                   	-                   	Y (0.662)           	Non-effector
SGCOL_007834-T1 	-                   	-                   	Y (0.516)           	Non-effector
SGCOL_007839-T1 	-                   	-                   	Y (0.535)           	Non-effector
SGCOL_007840-T1 	-                   	-                   	Y (0.859)           	Non-effector
SGCOL_007849-T1 	Y (0.747)           	-                   	-                   	Cytoplasmic effector
SGCOL_007850-T1 	-                   	Y (0.932)           	-                   	Apoplastic effector
SGCOL_007851-T1 	-                   	-                   	Y (0.754)           	Non-effector
SGCOL_007852-T1 	-                   	-                   	Y (0.947)           	Non-effector
SGCOL_007853-T1 	Y (0.626)           	Y (0.626)           	-                   	Cytoplasmic/apoplastic effector
SGCOL_007856-T1 	-                   	-                   	Y (0.746)           	Non-effector
SGCOL_007874-T1 	-                   	Y (0.893)           	-                   	Apoplastic effector
SGCOL_007879-T1 	-                   	-                   	Y (0.683)           	Non-effector
SGCOL_007882-T1 	-                   	Y (0.576)           	-                   	Apoplastic effector
SGCOL_007898-T1 	Y (0.597)           	Y (0.753)           	-                   	Apoplastic/cytoplasmic effector
SGCOL_007899-T1 	-                   	-                   	Y (0.912)           	Non-effector
SGCOL_007900-T1 	-                   	Y (0.568)           	-                   	Apoplastic effector
SGCOL_007910-T1 	-                   	Y (0.536)           	-                   	Apoplastic effector
SGCOL_007916-T1 	-                   	-                   	Y (0.823)           	Non-effector
SGCOL_007920-T1 	-                   	-                   	Y (0.862)           	Non-effector
SGCOL_007922-T1 	-                   	-                   	Y (0.505)           	Non-effector
SGCOL_007924-T1 	-                   	-                   	Y (0.924)           	Non-effector
SGCOL_007927-T1 	-                   	Y (0.595)           	-                   	Apoplastic effector
SGCOL_007946-T1 	-                   	-                   	Y (0.852)           	Non-effector
SGCOL_007950-T1 	-                   	-                   	Y (0.867)           	Non-effector
SGCOL_007963-T1 	-                   	-                   	Y (0.556)           	Non-effector
SGCOL_008020-T1 	-                   	-                   	Y (0.673)           	Non-effector
SGCOL_008026-T1 	-                   	-                   	Y (0.68)           	Non-effector
SGCOL_008028-T1 	-                   	-                   	Y (0.929)           	Non-effector
SGCOL_008062-T1 	-                   	-                   	Y (0.801)           	Non-effector
SGCOL_008063-T1 	-                   	Y (0.785)           	-                   	Apoplastic effector
SGCOL_008078-T1 	-                   	-                   	Y (0.922)           	Non-effector
SGCOL_008089-T1 	-                   	-                   	Y (0.925)           	Non-effector
SGCOL_008100-T1 	-                   	-                   	Y (0.71)           	Non-effector
SGCOL_008105-T1 	-                   	-                   	Y (0.65)           	Non-effector
SGCOL_008111-T1 	-                   	-                   	Y (0.933)           	Non-effector
SGCOL_008112-T1 	-                   	-                   	Y (0.928)           	Non-effector
SGCOL_008118-T1 	-                   	-                   	Y (0.78)           	Non-effector
SGCOL_008127-T1 	-                   	-                   	Y (0.769)           	Non-effector
SGCOL_008129-T1 	-                   	-                   	Y (0.772)           	Non-effector
SGCOL_008130-T1 	-                   	-                   	Y (0.922)           	Non-effector
SGCOL_008153-T1 	-                   	Y (0.551)           	-                   	Apoplastic effector
SGCOL_008154-T1 	-                   	Y (0.684)           	-                   	Apoplastic effector
SGCOL_008163-T1 	-                   	-                   	Y (0.672)           	Non-effector
SGCOL_008164-T1 	-                   	Y (0.686)           	-                   	Apoplastic effector
SGCOL_008179-T1 	-                   	-                   	Y (0.857)           	Non-effector
SGCOL_008183-T1 	-                   	Y (0.645)           	-                   	Apoplastic effector
SGCOL_008196-T1 	-                   	-                   	Y (0.928)           	Non-effector
SGCOL_008199-T1 	-                   	-                   	Y (0.968)           	Non-effector
SGCOL_008206-T1 	-                   	-                   	Y (0.565)           	Non-effector
SGCOL_008209-T1 	-                   	-                   	Y (0.938)           	Non-effector
SGCOL_008212-T1 	-                   	-                   	Y (0.64)           	Non-effector
SGCOL_008215-T1 	-                   	Y (0.854)           	-                   	Apoplastic effector
SGCOL_008216-T1 	-                   	Y (0.795)           	-                   	Apoplastic effector
SGCOL_008230-T1 	-                   	-                   	Y (0.59)           	Non-effector
SGCOL_008233-T1 	-                   	-                   	Y (0.966)           	Non-effector
SGCOL_008234-T1 	-                   	-                   	Y (0.522)           	Non-effector
SGCOL_008237-T1 	-                   	-                   	Y (0.631)           	Non-effector
SGCOL_008245-T1 	-                   	-                   	Y (0.86)           	Non-effector
SGCOL_008249-T1 	-                   	-                   	Y (0.702)           	Non-effector
SGCOL_008252-T1 	-                   	-                   	Y (0.928)           	Non-effector
SGCOL_008255-T1 	-                   	-                   	Y (0.878)           	Non-effector
SGCOL_008258-T1 	-                   	-                   	Y (0.707)           	Non-effector
SGCOL_008260-T1 	-                   	-                   	Y (0.531)           	Non-effector
SGCOL_008268-T1 	-                   	-                   	Y (0.51)           	Non-effector
SGCOL_008275-T1 	-                   	-                   	Y (0.96)           	Non-effector
SGCOL_008303-T1 	-                   	-                   	Y (0.792)           	Non-effector
SGCOL_008308-T1 	Y (0.795)           	-                   	-                   	Cytoplasmic effector
SGCOL_008317-T1 	-                   	-                   	Y (0.841)           	Non-effector
SGCOL_008323-T1 	-                   	-                   	Y (0.796)           	Non-effector
SGCOL_008327-T1 	-                   	-                   	Y (0.865)           	Non-effector
SGCOL_008328-T1 	Y (0.748)           	-                   	-                   	Cytoplasmic effector
SGCOL_008333-T1 	-                   	Y (0.779)           	-                   	Apoplastic effector
SGCOL_008335-T1 	-                   	Y (0.546)           	-                   	Apoplastic effector
SGCOL_008337-T1 	-                   	-                   	Y (0.894)           	Non-effector
SGCOL_008362-T1 	-                   	-                   	Y (0.814)           	Non-effector
SGCOL_008363-T1 	-                   	-                   	Y (0.83)           	Non-effector
SGCOL_008389-T1 	Y (0.707)           	Y (0.729)           	-                   	Apoplastic/cytoplasmic effector
SGCOL_008390-T1 	Y (0.736)           	-                   	-                   	Cytoplasmic effector
SGCOL_008402-T1 	Y (0.51)           	-                   	-                   	Cytoplasmic effector
SGCOL_008411-T1 	-                   	Y (0.543)           	-                   	Apoplastic effector
SGCOL_008413-T1 	-                   	-                   	Y (0.963)           	Non-effector
SGCOL_008414-T1 	-                   	-                   	Y (0.623)           	Non-effector
SGCOL_008419-T1 	-                   	-                   	Y (0.519)           	Non-effector
SGCOL_008420-T1 	-                   	-                   	Y (0.666)           	Non-effector
SGCOL_008438-T1 	-                   	-                   	Y (0.798)           	Non-effector
SGCOL_008444-T1 	-                   	-                   	Y (0.912)           	Non-effector
SGCOL_008446-T1 	-                   	-                   	Y (0.672)           	Non-effector
SGCOL_008455-T1 	-                   	Y (0.706)           	-                   	Apoplastic effector
SGCOL_008456-T1 	-                   	-                   	Y (0.986)           	Non-effector
SGCOL_008461-T1 	-                   	-                   	Y (0.919)           	Non-effector
SGCOL_008474-T1 	Y (0.765)           	-                   	-                   	Cytoplasmic effector
SGCOL_008493-T1 	-                   	-                   	Y (0.962)           	Non-effector
SGCOL_008497-T1 	-                   	-                   	Y (0.854)           	Non-effector
SGCOL_008501-T1 	-                   	-                   	Y (0.962)           	Non-effector
SGCOL_008503-T1 	-                   	-                   	Y (0.641)           	Non-effector
SGCOL_008514-T1 	Y (0.559)           	-                   	-                   	Cytoplasmic effector
SGCOL_008522-T1 	Y (0.564)           	Y (0.968)           	-                   	Apoplastic/cytoplasmic effector
SGCOL_008526-T1 	-                   	-                   	Y (0.906)           	Non-effector
SGCOL_008531-T1 	-                   	Y (0.715)           	-                   	Apoplastic effector
SGCOL_008563-T1 	Y (0.635)           	-                   	-                   	Cytoplasmic effector
SGCOL_008581-T1 	-                   	-                   	Y (0.941)           	Non-effector
SGCOL_008587-T1 	-                   	-                   	Y (0.709)           	Non-effector
SGCOL_008590-T1 	-                   	-                   	Y (0.502)           	Non-effector
SGCOL_008593-T1 	-                   	-                   	Y (0.802)           	Non-effector
SGCOL_008594-T1 	-                   	Y (0.894)           	-                   	Apoplastic effector
SGCOL_008609-T1 	-                   	-                   	Y (0.528)           	Non-effector
SGCOL_008610-T1 	-                   	-                   	Y (0.733)           	Non-effector
SGCOL_008612-T1 	-                   	-                   	Y (0.632)           	Non-effector
SGCOL_008639-T1 	-                   	-                   	Y (0.832)           	Non-effector
SGCOL_008641-T1 	-                   	-                   	Y (0.547)           	Non-effector
SGCOL_008644-T1 	-                   	-                   	Y (0.878)           	Non-effector
SGCOL_008645-T1 	Y (0.807)           	Y (0.802)           	-                   	Cytoplasmic/apoplastic effector
SGCOL_008671-T1 	-                   	-                   	Y (0.579)           	Non-effector
SGCOL_008673-T1 	-                   	-                   	Y (0.663)           	Non-effector
SGCOL_008675-T1 	-                   	-                   	Y (0.522)           	Non-effector
SGCOL_008716-T1 	-                   	Y (0.518)           	-                   	Apoplastic effector
SGCOL_008731-T1 	-                   	-                   	Y (0.637)           	Non-effector
SGCOL_008750-T1 	Y (0.606)           	-                   	-                   	Cytoplasmic effector
SGCOL_008795-T1 	-                   	-                   	Y (0.84)           	Non-effector
SGCOL_008797-T1 	-                   	-                   	Y (0.618)           	Non-effector
SGCOL_008805-T1 	-                   	-                   	Y (0.538)           	Non-effector
SGCOL_008821-T1 	Y (0.536)           	Y (0.545)           	-                   	Apoplastic/cytoplasmic effector
SGCOL_008870-T1 	-                   	Y (0.567)           	-                   	Apoplastic effector
SGCOL_008878-T1 	Y (0.823)           	-                   	-                   	Cytoplasmic effector
SGCOL_008879-T1 	-                   	-                   	Y (0.749)           	Non-effector
SGCOL_008881-T1 	-                   	-                   	Y (0.548)           	Non-effector
SGCOL_008891-T1 	-                   	-                   	Y (0.817)           	Non-effector
SGCOL_008892-T1 	-                   	-                   	Y (0.624)           	Non-effector
SGCOL_008896-T1 	-                   	-                   	Y (0.797)           	Non-effector
SGCOL_008916-T1 	-                   	-                   	Y (0.788)           	Non-effector
SGCOL_008927-T1 	-                   	-                   	Y (0.904)           	Non-effector
SGCOL_008931-T1 	-                   	-                   	Y (0.936)           	Non-effector
SGCOL_008932-T1 	Y (0.548)           	Y (0.726)           	-                   	Apoplastic/cytoplasmic effector
SGCOL_008944-T1 	-                   	-                   	Y (0.914)           	Non-effector
SGCOL_008955-T1 	-                   	-                   	Y (0.819)           	Non-effector
SGCOL_008958-T1 	-                   	-                   	Y (0.974)           	Non-effector
SGCOL_008963-T1 	-                   	Y (0.592)           	-                   	Apoplastic effector
SGCOL_008969-T1 	-                   	-                   	Y (0.798)           	Non-effector
SGCOL_008990-T1 	-                   	Y (0.564)           	-                   	Apoplastic effector
SGCOL_008991-T1 	-                   	-                   	Y (0.757)           	Non-effector
SGCOL_008992-T1 	-                   	-                   	Y (0.843)           	Non-effector
SGCOL_008999-T1 	-                   	Y (0.943)           	-                   	Apoplastic effector
SGCOL_009001-T1 	-                   	Y (0.814)           	-                   	Apoplastic effector
SGCOL_009007-T1 	-                   	-                   	Y (0.903)           	Non-effector
SGCOL_009012-T1 	-                   	-                   	Y (0.617)           	Non-effector
SGCOL_009029-T1 	Y (0.677)           	Y (0.924)           	-                   	Apoplastic/cytoplasmic effector
SGCOL_009043-T1 	-                   	-                   	Y (0.747)           	Non-effector
SGCOL_009044-T1 	-                   	-                   	Y (0.526)           	Non-effector
SGCOL_009049-T1 	-                   	-                   	Y (0.532)           	Non-effector
SGCOL_009055-T1 	Y (0.946)           	Y (0.844)           	-                   	Cytoplasmic/apoplastic effector
SGCOL_009063-T1 	-                   	-                   	Y (0.94)           	Non-effector
SGCOL_009067-T1 	-                   	Y (0.927)           	-                   	Apoplastic effector
SGCOL_009072-T1 	-                   	-                   	Y (0.691)           	Non-effector
SGCOL_009074-T1 	-                   	-                   	Y (0.779)           	Non-effector
SGCOL_009075-T1 	-                   	-                   	Y (0.786)           	Non-effector
SGCOL_009078-T1 	-                   	-                   	Y (0.811)           	Non-effector
SGCOL_009090-T1 	-                   	-                   	Y (0.829)           	Non-effector
SGCOL_009100-T1 	-                   	-                   	Y (0.953)           	Non-effector
SGCOL_009108-T1 	-                   	-                   	Y (0.846)           	Non-effector
SGCOL_009110-T1 	-                   	-                   	Y (0.839)           	Non-effector
SGCOL_009122-T1 	-                   	-                   	Y (0.797)           	Non-effector
SGCOL_009131-T1 	-                   	Y (0.517)           	-                   	Apoplastic effector
SGCOL_009136-T1 	-                   	-                   	Y (0.974)           	Non-effector
SGCOL_009137-T1 	Y (0.546)           	-                   	-                   	Cytoplasmic effector
SGCOL_009138-T1 	-                   	-                   	Y (0.837)           	Non-effector
SGCOL_009147-T1 	-                   	-                   	Y (0.733)           	Non-effector
SGCOL_009153-T1 	-                   	Y (0.774)           	-                   	Apoplastic effector
SGCOL_009158-T1 	-                   	-                   	Y (0.561)           	Non-effector
SGCOL_009182-T1 	-                   	-                   	Y (0.823)           	Non-effector
SGCOL_009192-T1 	-                   	-                   	Y (0.823)           	Non-effector
SGCOL_009213-T1 	-                   	-                   	Y (0.88)           	Non-effector
SGCOL_009224-T1 	-                   	-                   	Y (0.717)           	Non-effector
SGCOL_009227-T1 	-                   	Y (0.693)           	-                   	Apoplastic effector
SGCOL_009228-T1 	-                   	-                   	Y (0.927)           	Non-effector
SGCOL_009232-T1 	Y (0.506)           	-                   	-                   	Cytoplasmic effector
SGCOL_009233-T1 	-                   	-                   	Y (0.928)           	Non-effector
SGCOL_009234-T1 	-                   	-                   	Y (0.834)           	Non-effector
SGCOL_009252-T1 	-                   	-                   	Y (0.74)           	Non-effector
SGCOL_009268-T1 	-                   	-                   	Y (0.659)           	Non-effector
SGCOL_009289-T1 	-                   	-                   	Y (0.988)           	Non-effector
SGCOL_009300-T1 	-                   	-                   	Y (0.975)           	Non-effector
SGCOL_009322-T1 	-                   	-                   	Y (0.928)           	Non-effector
SGCOL_009324-T1 	Y (0.728)           	Y (0.621)           	-                   	Cytoplasmic/apoplastic effector
SGCOL_009326-T1 	-                   	-                   	Y (0.598)           	Non-effector
SGCOL_009341-T1 	-                   	-                   	Y (0.914)           	Non-effector
SGCOL_009354-T1 	-                   	-                   	Y (0.741)           	Non-effector
